  id  |          created_at           | api_key_id | account_id | group_id | platform  |      model      | request_path | status_code | error_phase |   error_type   |      error_message      | upstream_status_code |                       upstream_error_message                       | inbound_endpoint | upstream_endpoint 
 2136 | 2026-05-21 17:30:06.019975+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2135 | 2026-05-21 17:30:06.020333+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2134 | 2026-05-21 17:30:06.018067+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2133 | 2026-05-21 17:30:06.013927+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2132 | 2026-05-21 17:30:06.011483+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2131 | 2026-05-21 17:30:06.011378+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2130 | 2026-05-21 17:30:06.00913+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2129 | 2026-05-21 17:30:06.004299+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2128 | 2026-05-21 17:28:38.783172+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2127 | 2026-05-21 17:28:36.013578+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2126 | 2026-05-21 17:28:36.013179+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2125 | 2026-05-21 17:28:36.013028+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2124 | 2026-05-21 17:28:36.012985+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2123 | 2026-05-21 17:28:36.013041+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2122 | 2026-05-21 17:28:36.007008+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2121 | 2026-05-21 17:28:36.005575+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2120 | 2026-05-21 17:28:36.005499+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2119 | 2026-05-21 17:28:36.00549+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2118 | 2026-05-21 17:27:06.014483+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2117 | 2026-05-21 17:27:06.01437+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2116 | 2026-05-21 17:27:06.014299+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2115 | 2026-05-21 17:27:06.013284+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2114 | 2026-05-21 17:27:06.013575+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2113 | 2026-05-21 17:27:06.012035+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2112 | 2026-05-21 17:27:06.012006+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2111 | 2026-05-21 17:27:06.011683+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2110 | 2026-05-21 17:27:06.012111+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2109 | 2026-05-21 17:27:05.98174+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2107 | 2026-05-21 17:25:36.017901+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2106 | 2026-05-21 17:25:36.01703+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2105 | 2026-05-21 17:25:36.018024+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2104 | 2026-05-21 17:25:36.017894+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2103 | 2026-05-21 17:25:36.01661+08  |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2102 | 2026-05-21 17:25:36.016697+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2101 | 2026-05-21 17:25:36.016728+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2100 | 2026-05-21 17:25:36.016263+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2099 | 2026-05-21 17:25:36.002306+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages
 2098 | 2026-05-21 17:25:35.979819+08 |          8 |         24 |        1 | anthropic | claude-opus-4.7 | /v1/messages |         502 | upstream    | upstream_error | Upstream request failed |                      | Post "http://kiro-go:8080/v1/messages?beta=true": context canceled | /v1/messages     | /v1/messages

